contigA	startA	endA	contigB	startB	endB	strand	mapq
I	0	4053	I	13738	17791	+	60
I	4053	19694	I	17797	33438	+	60
I	19694	20545	I	33439	34290	+	60
I	20545	29661	I	34297	43413	+	60
I	29661	43335	I	45030	58704	+	60
I	43335	97344	I	58705	112714	+	60
I	97850	101871	I	112714	116735	+	60
I	101871	206448	I	116736	221313	+	60
I	206448	440084	I	221314	454950	+	60
I	440084	453369	I	454951	468236	+	60
I	453369	470378	I	468237	485246	+	60
I	470379	470390	I	485246	485257	+	60
I	470391	473427	I	485257	488293	+	60
I	473427	482737	I	488294	497604	+	60
I	482737	554527	I	497605	569395	+	60
I	554527	562745	I	569396	577614	+	60
I	562745	650099	I	577615	664969	+	60
I	650099	670032	I	664971	684904	+	60
I	670032	682993	I	684905	697866	+	60
I	682994	862962	I	697866	877834	+	60
I	862962	903074	I	877835	917947	+	60
I	903074	934908	I	917948	949782	+	60
I	934908	946314	I	949784	961190	+	60
I	946314	960025	I	961192	974903	+	60
I	960025	965438	I	974904	980317	+	60
I	965438	1027635	I	980318	1042515	+	60
I	1027635	1048635	I	1042516	1063516	+	60
I	1048635	1079583	I	1063517	1094465	+	60
I	1079583	1148104	I	1094473	1162994	+	60
I	1148104	1274803	I	1162995	1289694	+	60
I	1274803	1358794	I	1289695	1373686	+	60
I	1358794	1424708	I	1373687	1439601	+	60
I	1424709	1496317	I	1439601	1511209	+	60
I	1496318	1509277	I	1511209	1524168	+	60
I	1509277	1595056	I	1524169	1609948	+	60
I	1595056	1625092	I	1609949	1639985	+	60
I	1625092	1765306	I	1639986	1780200	+	60
I	1765306	1936294	I	1780201	1951189	+	60
I	1936294	1952313	I	1951190	1967209	+	60
I	1952313	1955754	I	1967210	1970651	+	60
I	1955754	1955853	I	1970653	1970752	+	60
I	1955853	2025000	I	1970753	2039900	+	60
I	2025000	2139856	I	2039901	2154757	+	60
I	2139856	2154491	I	2154758	2169393	+	60
I	2154491	2227936	I	2169394	2242839	+	60
I	2227936	2288240	I	2242842	2303146	+	60
I	2288241	2343703	I	2303146	2358608	+	60
I	2343703	2421576	I	2358609	2436482	+	60
I	2421577	2499149	I	2436482	2514054	+	60
I	2499150	2507462	I	2514054	2522366	+	60
I	2507462	2510060	I	2522367	2524965	+	60
I	2510060	2588021	I	2524966	2602927	+	60
I	2588021	2588066	I	2602928	2602973	+	60
I	2588066	2594263	I	2602974	2609171	+	60
I	2594263	2594324	I	2609172	2609233	+	60
I	2594324	2594351	I	2609234	2609261	+	60
I	2594351	2594391	I	2609262	2609302	+	60
I	2594391	2605860	I	2609303	2620772	+	60
I	2605861	2607669	I	2620772	2622580	+	60
I	2607669	2641998	I	2622581	2656910	+	60
I	2641998	2683902	I	2656911	2698815	+	60
I	2683903	2751236	I	2698815	2766148	+	60
I	2751237	2759871	I	2766148	2774782	+	60
I	2759871	3125118	I	2774783	3140030	+	60
I	3125118	3166776	I	3140031	3181689	+	60
I	3166776	3178494	I	3181692	3193410	+	60
I	3178494	3197528	I	3193411	3212445	+	60
I	3197528	3300811	I	3212446	3315729	+	60
I	3300811	3450130	I	3315733	3465052	+	60
I	3450131	3460318	I	3465052	3475239	+	60
I	3460318	3538413	I	3475240	3553335	+	60
I	3538413	3538428	I	3553336	3553351	+	60
I	3538428	3538436	I	3553352	3553360	+	60
I	3538436	3538449	I	3553361	3553374	+	60
I	3538449	3538456	I	3553376	3553383	+	60
I	3538456	3548532	I	3553385	3563461	+	60
I	3548532	3576756	I	3563462	3591686	+	60
I	3576756	3576929	I	3591693	3591866	+	60
I	3576929	3580034	I	3591867	3594972	+	60
I	3580034	3665610	I	3594973	3680549	+	60
I	3665610	3700385	I	3680550	3715325	+	60
I	3700385	3730369	I	3715327	3745311	+	60
