contigA	startA	endA	contigB	startB	endB	strand	mapq
I	11357	15410	I	0	4053	+	60
I	15416	31057	I	4053	19694	+	60
I	31058	31909	I	19694	20545	+	60
I	31915	38772	I	20545	27402	+	60
I	38775	41034	I	27402	29661	+	60
I	42651	56325	I	29661	43335	+	60
I	56326	110335	I	43335	97344	+	60
I	110335	114356	I	97850	101871	+	60
I	114357	218959	I	101871	206473	+	60
I	218965	439996	I	206473	427504	+	60
I	439997	452577	I	427504	440084	+	60
I	452578	465863	I	440084	453369	+	60
I	465865	482874	I	453369	470378	+	60
I	482874	482885	I	470379	470390	+	60
I	482885	485921	I	470391	473427	+	60
I	485922	495232	I	473427	482737	+	60
I	495233	538666	I	482737	526170	+	60
I	538667	567024	I	526170	554527	+	60
I	567025	575243	I	554527	562745	+	60
I	575244	662598	I	562745	650099	+	60
I	662600	672557	I	650099	660056	+	60
I	672557	682532	I	660057	670032	+	60
I	682533	695494	I	670032	682993	+	60
I	695494	775175	I	682994	762675	+	60
I	775175	875447	I	762690	862962	+	60
I	875448	947394	I	862962	934908	+	60
I	947396	972513	I	934908	960025	+	60
I	972514	977927	I	960025	965438	+	60
I	977929	1040126	I	965438	1027635	+	60
I	1040128	1061128	I	1027635	1048635	+	60
I	1061129	1092077	I	1048635	1079583	+	60
I	1092085	1160606	I	1079583	1148104	+	60
I	1160607	1287306	I	1148104	1274803	+	60
I	1287307	1371298	I	1274803	1358794	+	60
I	1371299	1437213	I	1358794	1424708	+	60
I	1437213	1478217	I	1424709	1465713	+	60
I	1478217	1508820	I	1465714	1496317	+	60
I	1508820	1519777	I	1496318	1507275	+	60
I	1519779	1521781	I	1507275	1509277	+	60
I	1521783	1553978	I	1509277	1541472	+	60
I	1553979	1607563	I	1541472	1595056	+	60
I	1607565	1637601	I	1595056	1625092	+	60
I	1637602	1777816	I	1625092	1765306	+	60
I	1777818	1948806	I	1765306	1936294	+	60
I	1948807	1964826	I	1936294	1952313	+	60
I	1964827	1968268	I	1952313	1955754	+	60
I	1968270	1968369	I	1955754	1955853	+	60
I	1968370	2037517	I	1955853	2025000	+	60
I	2037518	2152374	I	2025000	2139856	+	60
I	2152375	2167010	I	2139856	2154491	+	60
I	2167011	2240456	I	2154491	2227936	+	60
I	2240459	2258002	I	2227936	2245479	+	60
I	2258003	2285725	I	2245479	2273201	+	60
I	2285725	2300762	I	2273203	2288240	+	60
I	2300762	2356224	I	2288241	2343703	+	60
I	2356225	2434098	I	2343703	2421576	+	60
I	2434098	2511670	I	2421577	2499149	+	60
I	2511670	2519982	I	2499150	2507462	+	60
I	2519983	2522581	I	2507462	2510060	+	60
I	2522582	2600543	I	2510060	2588021	+	60
I	2600544	2600589	I	2588021	2588066	+	60
I	2600590	2606787	I	2588066	2594263	+	60
I	2606788	2606849	I	2594263	2594324	+	60
I	2606850	2606877	I	2594324	2594351	+	60
I	2606878	2606918	I	2594351	2594391	+	60
I	2606919	2618388	I	2594391	2605860	+	60
I	2618388	2620196	I	2605861	2607669	+	60
I	2620197	2654526	I	2607669	2641998	+	60
I	2654527	2696431	I	2641998	2683902	+	60
I	2696431	2759555	I	2683903	2747027	+	60
I	2759556	2763765	I	2747027	2751236	+	60
I	2763765	2772399	I	2751237	2759871	+	60
I	2772400	2941810	I	2759871	2929281	+	60
I	2952239	2972932	I	2929281	2949974	+	60
I	2972932	2981893	I	2949976	2958937	+	60
I	2981893	2982706	I	2958939	2959752	+	60
I	2982707	3055019	I	2959752	3032064	+	60
I	3055028	3148082	I	3032064	3125118	+	60
I	3148083	3167664	I	3125118	3144699	+	60
I	3167665	3189742	I	3144699	3166776	+	60
I	3189745	3201463	I	3166776	3178494	+	60
I	3201464	3220498	I	3178494	3197528	+	60
I	3220499	3323782	I	3197528	3300811	+	60
I	3323782	3326358	I	3300818	3303394	+	60
I	3326360	3419051	I	3303394	3396085	+	60
I	3419087	3473132	I	3396085	3450130	+	60
I	3473132	3483319	I	3450131	3460318	+	60
I	3483320	3561415	I	3460318	3538413	+	60
I	3561416	3561431	I	3538413	3538428	+	60
I	3561432	3561440	I	3538428	3538436	+	60
I	3561441	3561454	I	3538436	3538449	+	60
I	3561456	3561463	I	3538449	3538456	+	60
I	3561465	3571541	I	3538456	3548532	+	60
I	3571543	3599767	I	3548532	3576756	+	60
I	3599774	3599947	I	3576756	3576929	+	60
I	3599948	3603053	I	3576929	3580034	+	60
I	3603054	3688630	I	3580034	3665610	+	60
I	3688631	3723406	I	3665610	3700385	+	60
I	3723409	3753393	I	3700385	3730369	+	60
I	3753394	3788353	I	3730369	3765328	+	60
I	3788354	3799959	I	3765328	3776933	+	60
I	3799960	3806056	I	3776933	3783029	+	60
I	3806056	3878816	I	3783030	3855790	+	60
I	3878816	3963050	I	3855791	3940025	+	60
I	3963051	4007304	I	3940025	3984278	+	60
I	4007814	4078588	I	3984278	4055052	+	60
I	4078589	4203238	I	4055052	4179701	+	60
I	4203239	4300428	I	4179701	4276890	+	60
I	4300429	4327708	I	4276890	4304169	+	60
I	4327709	4397882	I	4304169	4374342	+	60
I	4397882	4431033	I	4374343	4407494	+	60
I	4431034	4433731	I	4407494	4410191	+	60
I	4433731	4437740	I	4410192	4414201	+	60
I	4437740	4438261	I	4414202	4414723	+	60
I	4438266	4455399	I	4414723	4431856	+	60
I	4455400	4455412	I	4431856	4431868	+	60
I	4455413	4478694	I	4431868	4455149	+	60
I	4478695	4548130	I	4455149	4524584	+	60
I	4548131	4625159	I	4527621	4604649	+	60
I	4625160	4742386	I	4604649	4721875	+	60
I	4742387	4784765	I	4721875	4764253	+	60
I	4784766	4931944	I	4764253	4911431	+	60
I	4931946	4946561	I	4911431	4926046	+	60
I	4946562	5075546	I	4926046	5055030	+	60
I	5075546	5116957	I	5055031	5096442	+	60
I	5116958	5163143	I	5096442	5142627	+	60
I	5163144	5168931	I	5142627	5148414	+	60
I	5168931	5193603	I	5148415	5173087	+	60
I	5193604	5193947	I	5173087	5173430	+	60
I	5193948	5197444	I	5173430	5176926	+	60
I	5197445	5211263	I	5176926	5190744	+	60
I	5215830	5296518	I	5190744	5271432	+	60
I	5296522	5393352	I	5271432	5368262	+	60
I	5393352	5393362	I	5368263	5368273	+	60
I	5393363	5451712	I	5368273	5426622	+	60
I	5451713	5584370	I	5426622	5559279	+	60
I	5584371	5604225	I	5559279	5579133	+	60
I	5607945	5609642	II	4527678	4529375	+	60
I	5609660	5613873	II	4529375	4533588	+	60
I	5613873	5614588	II	4533589	4534304	+	60
I	5614588	5615122	II	4534346	4534880	+	60
I	5615122	5615764	II	4534881	4535523	+	60
I	5615770	5615795	II	4535523	4535548	+	60
I	5615795	5615886	II	4535554	4535645	+	60
I	5615886	5616329	II	4535646	4536089	+	60
I	5616345	5616984	II	4536089	4536728	+	60
I	5616993	5617652	II	4536728	4537387	+	60
I	5617652	5617922	II	4537395	4537665	+	60
I	5617927	5618307	II	4537665	4538045	+	60
I	5618423	5618572	II	4538157	4538306	+	60
I	5618572	5618585	II	4538317	4538330	+	60
I	5618599	5618907	II	4538330	4538638	+	60
I	5618907	5619125	II	4538652	4538870	+	60
II	2203359	2220457	II	2115361	2132459	+	60
II	2232676	2247925	II	2132459	2147708	+	60
II	2247925	2287037	II	2148295	2187407	+	60
II	2287038	2299618	II	2187407	2199987	+	60
II	2299618	2319554	II	2199992	2219928	+	60
II	2319555	2392924	II	2219928	2293297	+	60
II	2392924	2421979	II	2293298	2322353	+	60
